HomeTeam,AwayTeam,FTHG,FTAG,FTR
Genk,Eupen,,,
Kortrijk,Cercle Brugge,,,
Mouscron,Mechelen,,,
Waasland-Beveren,St Truiden,,,
Club Brugge,Waregem,,,
Standard,Gent,,,
Charleroi,Oostende,,,
Antwerp,Anderlecht,,,
Tottenham,Brighton,,,
Aston Villa,Norwich,,,
Bournemouth,Arsenal,,,
Chelsea,Southampton,,,
Crystal Palace,West Ham,,,
Everton,Burnley,,,
Sheffield United,Watford,,,
Man United,Newcastle,,,
Leicester,Liverpool,,,
Wolves,Man City,,,
Barnsley,West Brom,,,
Blackburn,Birmingham,,,
Brentford,Swansea,,,
Cardiff,Millwall,,,
Charlton,Bristol City,,,
Hull,Nott'm Forest,,,
Luton,Fulham,,,
Middlesbrough,Huddersfield,,,
Stoke,Sheffield Weds,,,
Wigan,Derby,,,
Leeds,Preston,,,
Reading,QPR,,,
Blackpool,Accrington,,,
Bristol Rvs,AFC Wimbledon,,,
Burton,Tranmere,,,
Ipswich,Gillingham,,,
Oxford,Lincoln,,,
Peterboro,Doncaster,,,
Portsmouth,Wycombe,,,
Rochdale,Fleetwood Town,,,
Shrewsbury,Rotherham,,,
Southend,Milton Keynes Dons,,,
Sunderland,Bolton,,,
Leyton Orient,Colchester,,,
Carlisle,Bradford,,,
Cheltenham,Plymouth,,,
Crawley Town,Northampton,,,
Exeter,Newport County,,,
Macclesfield,Grimsby,,,
Mansfield,Port Vale,,,
Morecambe,Oldham,,,
Salford,Crewe,,,
Scunthorpe,Walsall,,,
Stevenage,Forest Green,,,
Swindon,Cambridge,,,
Dag and Red,Ebbsfleet,,,
Woking,Sutton,,,
Barnet,Boreham Wood,,,
Barrow,Fylde,,,
Chesterfield,Solihull,,,
Dover Athletic,Bromley,,,
Eastleigh,Aldershot,,,
Harrogate,Hartlepool,,,
Notts County,Maidenhead,,,
Stockport,Halifax,,,
Wrexham,Chorley,,,
Yeovil,Torquay,,,
Cosenza,Empoli,,,
Chievo,Benevento,,,
Cremonese,Juve Stabia,,,
Frosinone,Crotone,,,
Livorno,Pescara,,,
Salernitana,Pordenone,,,
Trapani,Perugia,,,
Venezia,Cittadella,,,
Ascoli,Pisa,,,
Virtus Entella,Spezia,,,
Hearts,Hibernian,,,
Aberdeen,Livingston,,,
Hamilton,St Johnstone,,,
Rangers,Kilmarnock,,,
Ross County,Motherwell,,,
St Mirren,Celtic,,,
